X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
10000,0,0,0
9999.48,87.2641,0,0
9998.2,174.519,0,0
9996.16,261.759,0,0
9993.35,348.976,0,0
9989.79,436.164,0,0
9985.46,523.316,0,0
9980.38,610.426,0,0
9974.53,697.487,0,0
9967.93,784.493,0,0
9960.56,871.436,0,0
9952.44,958.311,0,0
9943.56,1045.11,0,0
9933.92,1131.83,0,0
9923.53,1218.46,0,0
9912.38,1304.99,0,0
9900.48,1391.42,0,0
9887.82,1477.75,0,0
9874.41,1563.95,0,0
9860.25,1650.04,0,0
9845.34,1736,0,0
9829.68,1821.82,0,0
9813.27,1907.51,0,0
9796.12,1993.04,0,0
9778.22,2078.42,0,0
9759.57,2163.64,0,0
9740.18,2248.7,0,0
9720.05,2333.58,0,0
9699.18,2418.28,0,0
9677.58,2502.79,0,0
9655.23,2587.11,0,0
9632.16,2671.23,0,0
9608.34,2755.15,0,0
9583.8,2838.85,0,0
9558.53,2922.34,0,0
9532.53,3005.6,0,0
9505.81,3088.62,0,0
9478.36,3171.42,0,0
9450.2,3253.96,0,0
9421.31,3336.26,0,0
9391.71,3418.3,0,0
9361.39,3500.08,0,0
9330.36,3581.59,0,0
9298.62,3662.82,0,0
9266.17,3743.78,0,0
9233.02,3824.44,0,0
9199.17,3904.81,0,0
9164.61,3984.89,0,0
9129.36,4064.65,0,0
9093.42,4144.11,0,0
9056.78,4223.25,0,0
9019.46,4302.06,0,0
8981.45,4380.55,0,0
8942.76,4458.69,0,0
8903.38,4536.5,0,0
8863.33,4613.96,0,0
8822.61,4691.06,0,0
8781.21,4767.81,0,0
8739.15,4844.19,0,0
8696.42,4920.2,0,0
8653.04,4995.83,0,0
8608.99,5071.08,0,0
8564.29,5145.95,0,0
8518.94,5220.41,0,0
8472.94,5294.48,0,0
8426.3,5368.15,0,0
8379.02,5441.4,0,0
8331.1,5514.23,0,0
8282.55,5586.65,0,0
8233.36,5658.63,0,0
8183.56,5730.19,0,0
8133.13,5801.3,0,0
8082.08,5871.97,0,0
8030.42,5942.2,0,0
7978.15,6011.96,0,0
7925.27,6081.27,0,0
7871.79,6150.12,0,0
7817.71,6218.49,0,0
7763.04,6286.39,0,0
7707.78,6353.8,0,0
7651.93,6420.73,0,0
7595.51,6487.17,0,0
7538.5,6553.12,0,0
7480.92,6618.56,0,0
7422.78,6683.5,0,0
7364.07,6747.93,0,0
7304.8,6811.84,0,0
7244.98,6875.23,0,0
7184.61,6938.09,0,0
7123.69,7000.43,0,0
7062.23,7062.23,0,0
7000.23,7123.49,0,0
6937.71,7184.21,0,0
6874.65,7244.37,0,0
6811.08,7303.99,0,0
6746.99,7363.05,0,0
6682.38,7421.54,0,0
6617.27,7479.47,0,0
6551.66,7536.82,0,0
6485.55,7593.6,0,0
6418.95,7649.8,0,0
6351.86,7705.42,0,0
6284.29,7760.45,0,0
6216.24,7814.89,0,0
6147.72,7868.73,0,0
6078.74,7921.96,0,0
6009.29,7974.6,0,0
5939.39,8026.62,0,0
5869.04,8078.03,0,0
5798.24,8128.83,0,0
5727,8179.01,0,0
5655.33,8228.56,0,0
5583.23,8277.48,0,0
5510.71,8325.77,0,0
5437.77,8373.43,0,0
5364.41,8420.44,0,0
5290.66,8466.82,0,0
5216.5,8512.55,0,0
5141.94,8557.62,0,0
5067,8602.05,0,0
4991.67,8645.82,0,0
4915.96,8688.93,0,0
4839.88,8731.38,0,0
4763.44,8773.16,0,0
4686.63,8814.27,0,0
4609.47,8854.71,0,0
4531.96,8894.47,0,0
4454.11,8933.56,0,0
4375.92,8971.96,0,0
4297.4,9009.68,0,0
4218.55,9046.71,0,0
4139.39,9083.06,0,0
4059.91,9118.71,0,0
3980.12,9153.66,0,0
3900.04,9187.92,0,0
3819.66,9221.47,0,0
3738.99,9254.33,0,0
3658.04,9286.47,0,0
3576.81,9317.91,0,0
3495.31,9348.64,0,0
3413.55,9378.65,0,0
3331.53,9407.95,0,0
3249.26,9436.54,0,0
